molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL2323043,Cc1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,intermediate,1100.0
CHEMBL2323274,N#Cc1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,intermediate,1200.0
CHEMBL2323273,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccc(Br)c2)CC1,active,1000.0
CHEMBL2323272,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccc(OCc3ccccc3)c2)CC1,intermediate,4000.0
CHEMBL2323271,COc1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,intermediate,2000.0
CHEMBL2323270,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccn2)CC1,intermediate,8500.0
CHEMBL2323269,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2C(=O)O)CC1,inactive,40000.0
CHEMBL2323268,COC(=O)c1ccccc1CN1CCN(C(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)CC1,intermediate,8000.0
CHEMBL2323267,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2C(F)(F)F)CC1,intermediate,1800.0
CHEMBL2323266,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2O)CC1,intermediate,2900.0
CHEMBL2323265,N#Cc1ccccc1CN1CCN(C(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)CC1,intermediate,3900.0
CHEMBL2323264,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2Br)CC1,intermediate,3400.0
CHEMBL2323263,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2Cl)CC1,intermediate,3200.0
CHEMBL2323262,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccccc2)CC1,intermediate,2000.0
CHEMBL2323261,COc1ccccc1CN1CCN(C(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)CC1,intermediate,2100.0
CHEMBL2323260,O=C(CC12CC3CC(CC(C3)C1)C2)NCCCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,22000.0
CHEMBL2323259,CN(CC(=O)N1CCN(Cc2ccccc2)CC1)C(=O)CC12CC3CC(CC(C3)C1)C2,intermediate,6700.0
CHEMBL2323258,O=C(CC12CC3CC(CC(C3)C1)C2)NC(CCC(=O)OCc1ccccc1)C(=O)N1CCN(Cc2ccccc2)CC1,intermediate,8700.0
CHEMBL2323257,O=C(CC12CC3CC(CC(C3)C1)C2)NC(CCO)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,40000.0
CHEMBL2323256,CC(OCc1ccccc1)C(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,29000.0
CHEMBL2323255,CC(O)C(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,40000.0
CHEMBL2323254,N#CCC(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,22000.0
CHEMBL2323253,CC(C)CC(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,29000.0
CHEMBL2323252,CC(C)C(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,40000.0
CHEMBL2323283,O=C(CC12CC3CC(CC(C3)C1)C2)NCCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,17000.0
CHEMBL2323282,CC(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,40000.0
CHEMBL2323281,O=C(CNC(=O)C12CC3CC(CC(C3)C1)C2)N1CCN(Cc2ccccc2)CC1,inactive,29000.0
CHEMBL2323280,CC(C)(C)CC(=O)NCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,40000.0
CHEMBL1729263,O=C(Cc1ccc(Cl)cc1)NCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,19000.0
CHEMBL2323279,O=C(Cc1ccccc1)NCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,40000.0
CHEMBL2323278,O=C(CC1CCCCC1)NCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,40000.0
CHEMBL2323277,O=C(NCC(=O)N1CCN(Cc2ccccc2)CC1)c1ccccc1,inactive,31000.0
CHEMBL2323276,O=C(NCC(=O)N1CCN(Cc2ccccc2)CC1)C1CCCCC1,inactive,27000.0
CHEMBL2323275,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2)CC1,intermediate,1300.0
CHEMBL221722,NC(=O)c1nc(F)cnc1O,inactive,67000.0
CHEMBL558805,CN1[C@@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,intermediate,8070.0
CHEMBL1008,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,intermediate,5080.0
CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,intermediate,7450.0
CHEMBL809,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,intermediate,3130.0
CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,162.0
CHEMBL558805,CN1[C@@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,intermediate,2820.0
